brand,product_name,price,full_cat
GILLETTE,Pack Trimmer KCG Perfect Style Kit,"29,99€",Hombre-Afeitado-Maquinillas y hojas de afeitar 
GILLETTE,"GilletteLabs Recambios de Máquina, 4 Recambios","22,49€",Hombre-Afeitado-Maquinillas y hojas de afeitar 
GILLETTE,Máquina de Afeitar Con Barra Exfoliante GilletteLabs,"19,99€",Hombre-Afeitado-Maquinillas y hojas de afeitar 
GILLETTE,Pack Neceser Fusion5 4 Recambios + Gel Fusion 200Ml,"21,99€",Hombre-Afeitado-Maquinillas y hojas de afeitar 
GILLETTE,Recortador de barba GILLETTE King C,"34,99€",Hombre-Afeitado-Maquinillas y hojas de afeitar 
GILLETTE,Maquinilla Mach3 Start + 2 cargadores Gillette 1 ud,"9,45€",Hombre-Afeitado-Maquinillas y hojas de afeitar 
GILLETTE,Hojas de afeitar de doble filo GILLETTE King C,"4,99€",Hombre-Afeitado-Maquinillas y hojas de afeitar 
GILLETTE,Maquinilla + cuchillas de afeitar King C de GILLETETE 5 uds,"19,99€",Hombre-Afeitado-Maquinillas y hojas de afeitar 
GILLETTE,Máquina Fusion Proglide Manual GILLETTE 2 uds,"13,99€",Hombre-Afeitado-Maquinillas y hojas de afeitar 
WILKINSON,WILKINSON Hydro5 sensitive maquinilla de afeitar blíster 1 ud,"5,59€",Hombre-Afeitado-Maquinillas y hojas de afeitar 
WILKINSON,Maquinilla de afeitar WILKINSON sensitive recambio blíster 4 uds,"12,99€",Hombre-Afeitado-Maquinillas y hojas de afeitar 
GILLETTE,Recambio Fusion Manual GILLETTE 8 uds,"32,99€",Hombre-Afeitado-Maquinillas y hojas de afeitar 
JATA,Perfilador corporal JATA cortefácil cerámico para hombre 1 ud,"25,99€",Hombre-Afeitado-Maquinillas y hojas de afeitar 
WILKINSON,Maquinilla de Afeitar de Bambú WILKINSON,"8,39€",Hombre-Afeitado-Maquinillas y hojas de afeitar 
BULLDOG,Recambio Máquina de Afeitar BULLDOG,"12,49€",Hombre-Afeitado-Maquinillas y hojas de afeitar 
BULLDOG,Máquina de Afeitar de Bammbú BULLDOG,"12,49€",Hombre-Afeitado-Maquinillas y hojas de afeitar 
WILKINSON,Hojas de afeitar WILKINSON Sword classic blíster 5 uds,"3,29€",Hombre-Afeitado-Maquinillas y hojas de afeitar 
BONTE,Maquinilla de afeitar BONTE recargable 5 hojas blíster 1 ud,"3,99€",Hombre-Afeitado-Maquinillas y hojas de afeitar 
WILKINSON,Recargador maquinilla extraible WILKINSON 5 uds,"3,50€",Hombre-Afeitado-Maquinillas y hojas de afeitar 
GILLETTE,Maquinilla Proshield GILLETTE 1 ud,"14,50€",Hombre-Afeitado-Maquinillas y hojas de afeitar 
GILLETTE,Maquinilla depilatoria de cuerpo GILETTE 1 ud,"5,70€",Hombre-Afeitado-Maquinillas y hojas de afeitar 
