name,quantity,quantity_unit,price,subcat,match_subcat,cat_name,brand,avg_price,gender,gender_2,store,type_brand
Acondicionador Suavidad y Brillo Deliplus todo tipo de cabelloBotella,1,L,1.85,Acondicionador y mascarilla,Acondicionador y Mascarilla,Cuidado del cabello,Deliplus,0.02,Non-Male,Non-Male,Mercadona,Housebrand
Acondicionador Repair & Nutrition Deliplus cabello seco y dañadoBote,300,ml,1.4,Acondicionador y mascarilla,Acondicionador y Mascarilla,Cuidado del cabello,Deliplus,0.47,Non-Male,Non-Male,Mercadona,Housebrand
Acondicionador instantáneo Kids DeliplusBote,250,ml,1.7,Acondicionador y mascarilla,Acondicionador y Mascarilla,Cuidado del cabello,Deliplus,0.68,Non-Male,Non-Male,Mercadona,Housebrand
Acondicionador instantáneo Repair & Nutrition Deliplus cabello seco y dañadoBotella,400,ml,2.5,Acondicionador y mascarilla,Acondicionador y Mascarilla,Cuidado del cabello,Deliplus,0.62,Non-Male,Non-Male,Mercadona,Housebrand
Acondicionador Repara & Protege PanteneBote,250,ml,3.6,Acondicionador y mascarilla,Acondicionador y Mascarilla,Cuidado del cabello,Pantene,1.44,Non-Male,Non-Male,Mercadona,Brand
Acondicionador Protector Color Vive Elvive cabello teñido o con mechasBote,250,ml,3,Acondicionador y mascarilla,Acondicionador y Mascarilla,Cuidado del cabello,Elvive,1.2,Non-Male,Non-Male,Mercadona,Brand
Acondicionador instantáneo Hydra hyaluronic Deliplus cabello de normal a secoBote,250,ml,2,Acondicionador y mascarilla,Acondicionador y Mascarilla,Cuidado del cabello,Deliplus,0.8,Non-Male,Non-Male,Mercadona,Housebrand
Mascarilla Repair & Nutrition Deliplus cabello seco y dañadoTarro,400,ml,2.15,Acondicionador y mascarilla,Acondicionador y Mascarilla,Cuidado del cabello,Deliplus,0.54,Non-Male,Non-Male,Mercadona,Housebrand
Mascarilla Argan Oil Deliplus cabello seco y dañadoTarro,400,ml,2.6,Acondicionador y mascarilla,Acondicionador y Mascarilla,Cuidado del cabello,Deliplus,0.65,Non-Male,Non-Male,Mercadona,Housebrand
Mascarilla Liss Frizz Control Deliplus cabello rebeldeTarro,400,ml,2.15,Acondicionador y mascarilla,Acondicionador y Mascarilla,Cuidado del cabello,Deliplus,0.54,Non-Male,Non-Male,Mercadona,Housebrand
Mascarilla Curl Perfect Deliplus cabello rizadoTarro,400,ml,2.6,Acondicionador y mascarilla,Acondicionador y Mascarilla,Cuidado del cabello,Deliplus,0.65,Non-Male,Non-Male,Mercadona,Housebrand
Mascarilla Repara & Protege Pantene cabello dañado y secoTarro,200,ml,2.85,Acondicionador y mascarilla,Acondicionador y Mascarilla,Cuidado del cabello,Pantene,1.43,Non-Male,Non-Male,Mercadona,Brand
